record_index,RXN:VAR(1):CAS_Reaction_Number,RXN:RCT(1):CAS_RN,RXN:RCT(2):CAS_RN,RXN:RCT(3):CAS_RN,RXN:RCT(4):CAS_RN,RXN:PRO(1):CAS_RN,RXN:VAR(1):PRO(1):YIELD,RXN:VAR(1):REFERENCE(1):AUTHOR,RXN:VAR(1):REFERENCE(1):TITLE,RXN:VAR(1):REFERENCE(1):CITATION,RXN:VAR(1):NOTES,RXN:VAR(1):CAT(1):CAS_RN,RXN:VAR(1):CAT(2):CAS_RN,RXN:VAR(1):CAT(3):CAS_RN,RXN:VAR(1):CAT(4):CAS_RN,RXN:VAR(1):RGT(1):CAS_RN,RXN:VAR(1):RGT(2):CAS_RN,RXN:VAR(1):RGT(3):CAS_RN,RXN:VAR(1):RGT(4):CAS_RN,RXN:VAR(1):RGT(5):CAS_RN,RXN:VAR(1):RGT(6):CAS_RN,RXN:VAR(1):SOL(1):CAS_RN,RXN:VAR(1):SOL(2):CAS_RN,RXN:VAR(1):SOL(3):CAS_RN,RXN:VAR(1):SOL(4):CAS_RN,RXN:VAR(1):SOL(5):CAS_RN,yield_percent,year
376,31-614-CAS-40985569,104-95-0,110-89-4,,,2144812-25-7,88,"Kim, Sojung F.; Schwarz, Henrik; Jurczyk, Justin; Nebgen, Bailey R.;","Mechanistic Investigation, Wavelength-Dependent Reactivity, and Expanded","Journal of the American Chemical Society (2024), 146(8), 5580-5596","sealed vial used, no solvent, Buchwald-Hartwig coupling",3375-31-3,787618-22-8,,,865-48-5,,,,,,,,,,,88,2024.0
377,31-614-CAS-38030181,100-61-8,2996065-86-0,,,2996065-94-0,88,"Ito, Kazuki; Sakai, Shuta; Yoshida, Kazuhiro","Synthesis of [1]Benzothieno[2,3-b][1]benzothiophenes from","Journal of Organic Chemistry (2023), 88(20), 14797-14802",Buchwald-Hartwig amination,3375-31-3,564483-19-8,,,865-47-4,,,,,,1330-20-7,,,,,88,2023.0
378,31-614-CAS-36967124,236406-55-6,2428643-63-2,,,3033999-10-6,88,"Chen, Lili; Yun, Ying; Guo, Shimeng; Wang, Xiaoyan; Xiong, Muya; Zhao,","Discovery of Novel 5,6-Dihydro-1,2,4-triazine Derivatives as Efficacious","Journal of Medicinal Chemistry (2023), 66(12), 7988-8010",Buchwald-Hartwig coupling,51364-51-3,98327-87-8,,,534-17-8,,,,,,108-88-3,,,,,88,2023.0
379,31-614-CAS-41966288,92-84-2,888214-21-9,,,3058377-60-6,88,"Narita, Hiroki; Min, Hyukgi; Kubo, Nanami; Hattori, Izumi; Yasuda,",Bis-Ortho-Donor-Modification of Boracyclic π-Electron Systems beyond,"Angewandte Chemie, International Edition (2024), 63(30), e202405412","chemoselective, Suzuki coupling",3375-31-3,131274-22-1,,,865-48-5,,,,,,108-88-3,,,,,88,2024.0
380,31-614-CAS-44475285,122-39-4,3075656-98-0,,,2761214-79-1,88,"Uemura, Shigetada; Oda, Susumu; Hayakawa, Masahiro; Kawasumi, Ryosuke;",Sequential Multiple Borylation Toward an Ultrapure Green Thermally,"Journal of the American Chemical Society (2023), 145(3), 1505-1511",,51364-51-3,131274-22-1,,,865-48-5,,,,,,95-47-6,,,,,88,2023.0
381,31-614-CAS-39355649,151238-31-2,212625-79-1,,,2649378-69-6,88,"Grimm, Jonathan B.; Tkachuk, Ariana N.; Patel, Ronak; Hennigan, S.",Optimized Red-Absorbing Dyes for Imaging and Sensing,"Journal of the American Chemical Society (2023), 145(42), 23000-23013",reaction in a sealed vial,51364-51-3,564483-18-7,,,534-17-8,,,,,,123-91-1,,,,,88,2023.0
382,31-614-CAS-39924731,1193-72-2,3078057-90-3,,,3078057-69-6,88,"Hubler, Francis; Renneberg, Dorte; Siendt, Herve; Stamm, Simon; Hilpert,",Discovery and Characterization of a New Class of C5aR1 Antagonists,"Journal of Medicinal Chemistry (2024), 67(5), 4100-4119",Buchwald-Hartwig coupling,51364-51-3,98327-87-8,,,865-48-5,,,,,,108-88-3,,,,,88,2024.0
383,31-614-CAS-36208219,109-04-6,122-39-4,,,50910-08-2,88,"Hayakawa, Masahiro; Kameda, Mayu; Kawasumi, Ryosuke; Nakatsuka, Soichiro;",Spiroborate-Based Host Materials with High Triplet Energies and Ambipolar,"Angewandte Chemie, International Edition (2023), 62(14), e202217512",,3375-31-3,657408-07-6,,,865-48-5,,,,,,108-88-3,,,,,88,2023.0
384,31-614-CAS-40129234,3036636-41-3,,,,3047887-52-2,88,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, see experimental details, 99% ee,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,88,2023.0
385,31-614-CAS-37012601,271-63-6,2944472-14-2,,,2944472-09-5,88,"Ausekle, Elina; Ehlers, Peter; Villinger, Alexander; Argueello Cordero,",Thienoindolizines and their Benzo-Fused Derivatives: Synthesis and,"Chemistry - A European Journal (2023), 29(42), e202301038",,603-35-0,3375-31-3,,,7778-53-2,7732-18-5,,,,,68-12-2,,,,,88,2023.0
386,31-614-CAS-38970020,589-09-3,694-80-4,,,112817-88-6,88,"Fan, Ruoqian; Wen, Haili; Chen, Zhen; Xia, Yuanzhi; Fang, Weiwei",A General Protocol toward Synthesis of 3-Methylindoles Using,"Organic Letters (2024), 26(1), 22-28","Schlenk tube used, alternative preparation shown",2873417-75-3,,,,865-48-5,,,,,,123-91-1,,,,,88,2024.0
387,31-614-CAS-41229772,616-45-5,1220960-84-8,,,1220962-25-3,88,"Inoue, Masafumi; Nagamori, Hironobu; Morita, Toru; Kobayashi, Satoru;",Design and synthesis of novel fluorene derivatives as inhibitors of,"Bioorganic & Medicinal Chemistry Letters (2024), 109129839",Buchwald-Hartwig coupling,52522-40-4,161265-03-8,,,534-17-8,,,,,,123-91-1,,,,,88,2024.0
388,31-614-CAS-37012588,120-72-9,2944472-14-2,,,2944472-07-3,88,"Ausekle, Elina; Ehlers, Peter; Villinger, Alexander; Argueello Cordero,",Thienoindolizines and their Benzo-Fused Derivatives: Synthesis and,"Chemistry - A European Journal (2023), 29(42), e202301038",,603-35-0,3375-31-3,,,7778-53-2,7732-18-5,,,,,68-12-2,,,,,88,2023.0
389,31-614-CAS-39661719,101-70-2,128055-74-3,,,207739-72-8,88,"Xu, Zhehui; Dong, Jianyang; Song, Geyang; Kong, Fuqiang; Li, Gang; Xue,",Selective photochemical synthesis of primary arylamines and symmetric,"Organic Chemistry Frontiers (2024), 11(8), 2313-2318","literature preparation, sealed tube used",13716-12-6,51364-51-3,,,865-48-5,,,,,,108-88-3,,,,,88,2024.0
390,31-614-CAS-36602326,3460-29-5,19646-07-2,57260-71-6,21190-87-4,2928616-70-8,88,"He, Jia; Wang, Luzhen; Mi, DaZhao; Guan, Tian; Liu, Wenjing; He, Peng;",Discovery of Pyrimidinediamine Derivatives as Potent Methuosis Inducers,"Journal of Medicinal Chemistry (2023), 66(11), 7421-7437",,7440-05-3,,,,534-17-8,7087-68-5,1333-74-0,2592-95-2,25952-53-8,7647-01-0,68-12-2,71-36-3,67-56-1,75-09-2,123-91-1,88,2023.0
391,31-614-CAS-41860564,106-38-7,865805-26-1,,,3054804-75-7,88,"Wu, Lin; Huang, Zhongyan; Miao, Jingsheng; Wang, Shuni; Li, Xinyao; Li,",Orienting Group Directed Cascade Borylation for Efficient One-Shot,"Angewandte Chemie, International Edition (2024), 63(18), e202402020",Buchwald-Hartwig reaction,51364-51-3,787618-22-8,,,865-48-5,,,,,,108-88-3,,,,,88,2024.0
392,31-614-CAS-38100953,82-46-2,37500-95-1,,,2952652-32-1,88,"Sudhakar, Pagidi; Slawin, Alexandra; Zysman-Colman, Eli",Thermally activated delayed fluorescence and high-contrast,"Frontiers in Chemistry (Lausanne, Switzerland) (2023), 111248267","Schlenk flask used, Buchwald-Hartwig cross-coupling reaction",12150-46-8,51364-51-3,,,534-17-8,,,,,,108-88-3,,,,,88,2023.0
393,31-614-CAS-39252506,109-04-6,110-89-4,,,68654-52-4,88,"Kumar Someswara Ashwathappa, Puneeth; Higashi, Takuya; Desrosiers,",Metal-Free Directed Site-Selective Csp3-H Borylation of Saturated Cyclic,"Angewandte Chemie, International Edition (2023), 62(39), e202309295","glove box used,capped vial used,alternative preparation shown",3375-31-3,657408-07-6,,,865-48-5,7732-18-5,,,,,108-88-3,,,,,88,2023.0
394,31-614-CAS-38625342,911676-86-3,937970-52-0,,,3055441-10-3,88,"Heitmann, Tyler; Liao, Gangling; de Leon, Pablo; Ernst, Glen; Buchler,",Fragment-Based Screening Identifies New Quinazolinone-Based Inositol,"ACS Medicinal Chemistry Letters (2023), 14(12), 1760-1766",,3375-31-3,161265-03-8,,,534-17-8,,,,,,123-91-1,,,,,88,2023.0
395,31-614-CAS-38558266,1895-39-2,58494-86-3,,,2314-76-3,88,"Hu, Chengxian; Wang, Lu; Wu, Yuanyuan; Zheng, Yonglong; Fu, Ying; Du,",Synthesis of N-substituted phthalimides via Pd-catalyzed [4+1],"Chemical Communications (Cambridge, United Kingdom) (2023), 59(100),",sealed tube used,3375-31-3,166330-10-5,,,584-08-7,,,,,,68-12-2,,,,,88,2023.0
396,31-614-CAS-36471772,135-67-1,2925249-24-5,,,2925249-36-9,87,"Zhou, You; Lei, Shuang-Gui; Wang, Li-Sheng; Ma, Jin-Tian; Yu, Zhi-Cheng;",I2-Promoted gem-Diarylethene Involved Aza-Diels-Alder Reaction and,"Organic Letters (2023), 25(19), 3386-3390",,3375-31-3,,,,534-17-8,131274-22-1,,,,,108-88-3,,,,,87,2023.0
397,31-614-CAS-39194507,1914543-70-6,2556667-60-6,,,3033295-14-3,87,"Wu, Chenggui; Liu, Ze-Shui; Shang, Yong; Liu, Chang; Deng, Shuang; Cheng,",Asymmetric Two-Component Alkenyl Catellani Reaction for the Construction,"Chinese Journal of Chemistry (2024), 42(7), 699-704","stereoselective (ee = 93%), Catellani reaction, sealed vial used",3375-31-3,5518-52-5,2248160-18-9,,584-08-7,,,,,,109-99-9,,,,,87,2024.0
398,31-614-CAS-37543189,110-91-8,2961016-70-4,,,2961016-62-4,87,"Ling, Li; Song, Zeli; Shan, He; Wang, Chao; Li, Shouting; Wang, Yanjiao;",Design and synthesis of a new family of planar and central chiral,"Chemical Communications (Cambridge, United Kingdom) (2023), 59(19),",,3375-31-3,787618-22-8,,,865-48-5,,,,,,108-88-3,,,,,87,2023.0
399,31-614-CAS-40129224,3036636-35-5,,,,3047887-46-4,87,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 93% ee, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,87,2023.0
400,31-614-CAS-40733493,100-52-7,591-50-4,630-08-0,118427-29-5,3047136-67-1,87,"Liang, Qianqian; Gao, Shuo; Hao, Wentao; Zhang, Guoying",Palladium-Catalyzed Multicomponent Carbonylation of Halides to,"Journal of Organic Chemistry (2024), 89(12), 8537-8545","high pressure, stereoselective, autoclave used",53199-31-8,,,,1310-73-2,,,,,,100-66-3,,,,,87,2024.0
401,31-614-CAS-35326246,101-70-2,2892136-35-3,,,2892136-36-4,87,"Xu, Xiushang; Vonder Haar, Amy L.; Yoshioka, Rengo; Zhang, Qizheng;",Solvent-tunable exciton-charge transfer mixed state enhances emission of,"Chemical Communications (Cambridge, United Kingdom) (2023), 59(6),",,51364-51-3,131274-22-1,,,865-48-5,,,,,,108-88-3,,,,,87,2023.0
402,31-614-CAS-35422569,110-89-4,2364619-25-8,,,2898500-64-4,87,"Reichert, Elaine C.; Feng, Kaibo; Sather, Aaron C.; Buchwald, Stephen L.",Pd-Catalyzed Amination of Base-Sensitive Five-Membered Heteroaryl Halides,"Journal of the American Chemical Society (2023), 145(6), 3323-3329","thermal, sealed Schlenk tube used",2489525-81-5,,,,18027-10-6,,,,,,109-99-9,,,,,87,2023.0
403,31-614-CAS-35422539,25419-06-1,34259-99-9,,,2898500-45-1,87,"Reichert, Elaine C.; Feng, Kaibo; Sather, Aaron C.; Buchwald, Stephen L.",Pd-Catalyzed Amination of Base-Sensitive Five-Membered Heteroaryl Halides,"Journal of the American Chemical Society (2023), 145(6), 3323-3329","sealed Schlenk tube used, reactant also recovered",2489525-81-5,,,,18027-10-6,,,,,,109-99-9,,,,,87,2023.0
404,31-614-CAS-37012571,83-34-1,2252273-74-6,,,2944471-94-5,87,"Ausekle, Elina; Ehlers, Peter; Villinger, Alexander; Argueello Cordero,",Thienoindolizines and their Benzo-Fused Derivatives: Synthesis and,"Chemistry - A European Journal (2023), 29(42), e202301038",,603-35-0,3375-31-3,,,7778-53-2,7732-18-5,,,,,68-12-2,,,,,87,2023.0
405,31-614-CAS-36602314,97-52-9,19646-07-2,57260-71-6,21190-87-4,2928616-65-1,87,"He, Jia; Wang, Luzhen; Mi, DaZhao; Guan, Tian; Liu, Wenjing; He, Peng;",Discovery of Pyrimidinediamine Derivatives as Potent Methuosis Inducers,"Journal of Medicinal Chemistry (2023), 66(11), 7421-7437",,7440-05-3,,,,534-17-8,7087-68-5,1333-74-0,2592-95-2,25952-53-8,7647-01-0,68-12-2,71-36-3,67-56-1,75-09-2,123-91-1,87,2023.0
406,31-614-CAS-36215327,2922795-55-7,,,,2923066-98-0,87,"Pu, Xiaoyun; Zhang, Yaqi; He, Xiaobo; Zhang, Xinhuan; Jiang, Long; Cao,",Synthesis of N-Substituted 4-Quinolones via Palladium-Catalyzed,"Advanced Synthesis & Catalysis (2023), 365(8), 1152-1157","stereoselective, reaction in a sealed microwave tube, %ee = 92",3375-31-3,406681-13-8,,,584-08-7,,,,,,108-88-3,,,,,87,2023.0
407,31-614-CAS-38556052,3020696-86-7,,,,3020697-05-3,87,"Takallou, Ahmad; Al-Siyabi, Munir; Al-Shidhani, Sulaiman; Lotfi Nosood,",Preparation of pyridopyrazines through tandem Pd-catalyzed C-N/C-C,"Organic & Biomolecular Chemistry (2023), 21(48), 9530-9533","chemoselective, Buchwald-Hartwig/C-H bond functionalization reaction",3375-31-3,,,,584-08-7,,,,,,68-12-2,,,,,87,2023.0
408,31-614-CAS-40129221,3036636-28-6,,,,3047887-40-8,87,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, >20:1 dr, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,87,2023.0
409,31-614-CAS-35770349,110-89-4,2915360-14-2,2915360-15-3,,2915360-18-6,87,"Scrivener, Sarah G.; Wang, Yidong; Wang, Yi-Ming",Iron-Catalyzed Coupling of Alkenes and Enones: Sakurai-Michael-type,"Organic Letters (2023), 25(9), 1420-1424","thermal, glovebox used",3375-31-3,161265-03-8,,,865-48-5,,,,,,109-99-9,,,,,87,2023.0
410,31-614-CAS-40129227,3036636-24-2,,,,3047887-36-2,87,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, >20:1 dr, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,87,2023.0
411,31-614-CAS-39194503,1914543-70-6,2556667-13-9,,,3033295-07-4,87,"Wu, Chenggui; Liu, Ze-Shui; Shang, Yong; Liu, Chang; Deng, Shuang; Cheng,",Asymmetric Two-Component Alkenyl Catellani Reaction for the Construction,"Chinese Journal of Chemistry (2024), 42(7), 699-704","stereoselective (ee = 96%), thermal, Catellani reaction, sealed vial used",3375-31-3,5518-52-5,2248160-18-9,,584-08-7,,,,,,109-99-9,,,,,87,2024.0
412,31-614-CAS-40733509,591-50-4,630-08-0,41097-65-8,,3047136-40-0,87,"Liang, Qianqian; Gao, Shuo; Hao, Wentao; Zhang, Guoying",Palladium-Catalyzed Multicomponent Carbonylation of Halides to,"Journal of Organic Chemistry (2024), 89(12), 8537-8545","high pressure, autoclave used, alternative preparation shown",53199-31-8,,,,1310-73-2,,,,,,100-66-3,,,,,87,2024.0
413,31-614-CAS-38947674,3471-32-7,1824038-82-5,,,3025966-96-2,87,"Kayastha, Nasib; Dutta, Dhiraj; Chutia, Kangkana; Das, Babulal; Gogoi,",Synthesis and Photophysical Properties of 3-Substituted-1H-Indazoles: A,"Journal of Organic Chemistry (2024), 89(1), 402-413","regioselective, 0.3 mmol scale used",3375-31-3,6737-42-4,,,865-47-4,,,,,,108-88-3,,,,,87,2024.0
414,31-614-CAS-38030241,123-75-1,23145-05-3,,,2616501-30-3,87,"Ouyang, Jia-Sheng; Zhang, Xinhuan; Pan, Bendu; Zou, Haobin; Chan, Albert",Solvent-Free Buchwald-Hartwig Amination of Heteroaryl Chlorides by,"Organic Letters (2023), 25(41), 7491-7496","green chemistry, no solvent, Buchwald-Hartwig amination, Schlenk tube",2585661-86-3,,,,865-48-5,,,,,,,,,,,87,2023.0
415,31-614-CAS-38701043,623-00-7,149771-44-8,,,2414150-48-2,87,"Zhang, Wenqiang; Zhao, Siqi; Luo, Yi; Zhang, Yan; Feng, Yunrui; Tang,",Discovery of,"Journal of Medicinal Chemistry (2024), 67(1), 322-348",,51364-51-3,98327-87-8,,,865-48-5,7732-18-5,,,,,108-88-3,,,,,87,2024.0
416,31-614-CAS-35689822,2890216-92-7,2917492-15-8,,,2890217-03-3,87,"Liu, Shen; Tian, Yiting; Yan, Libing; Wang, Shumeng; Zhao, Lei; Tian,",Color Tuning in Thermally Activated Delayed Fluorescence Polymers with,"Macromolecules (Washington, DC, United States) (2023), 56(3), 876-882",Buchwald-Hartwig coupling,12150-46-8,51364-51-3,,,865-48-5,,,,,,108-88-3,,,,,87,2023.0
417,31-614-CAS-40129218,3036636-15-1,,,,3047887-26-0,87,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 95% ee, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,87,2023.0
418,31-614-CAS-36470314,92638-81-8,2417554-85-7,,,2924550-10-5,87,"Chen, Hao; Zeng, Jiajie; Huang, Ruishan; Wang, Jianghui; He, Junchu; Liu,",An efficient aggregation-enhanced delayed fluorescence luminogen created,"Aggregate (2023), 4(2), e244",,51364-51-3,131274-22-1,,,865-48-5,,,,,,108-88-3,,,,,87,2023.0
419,31-614-CAS-39557552,500717-23-7,2924758-39-2,,,2924757-57-1,87,"Aeschi, Yves; Beck, Thorsten M.; Berens, Ulrich; Ernst, Alexander",A Scalable and Chromatography-Free Synthesis of,"Helvetica Chimica Acta (2024), 107(3), e202300220",Buchwald-Hartwig cross-coupling,51364-51-3,932710-63-9,,,865-48-5,50-81-7,,,,,108-88-3,7732-18-5,,,,87,2024.0
420,31-614-CAS-38558259,1895-39-2,333349-67-0,,,83665-33-2,87,"Hu, Chengxian; Wang, Lu; Wu, Yuanyuan; Zheng, Yonglong; Fu, Ying; Du,",Synthesis of N-substituted phthalimides via Pd-catalyzed [4+1],"Chemical Communications (Cambridge, United Kingdom) (2023), 59(100),",sealed tube used,3375-31-3,166330-10-5,,,584-08-7,,,,,,68-12-2,,,,,87,2023.0
421,31-614-CAS-35203601,106-39-8,4020-30-8,,,2888555-61-9,87,"Gao, Mingxue; Tian, Yu; Li, Xiaoning; Gong, Yanxiang; Fang, Manman; Yang,","The Effect of Molecular Conformations and Simulated ""Self-Doping"" in","Angewandte Chemie, International Edition (2023), 62(5), e202214908",Schlenk tube used,3375-31-3,,,,865-47-4,13716-12-6,,,,,108-88-3,,,,,87,2023.0
422,31-614-CAS-42988972,92-84-2,36809-26-4,,,1631143-56-0,87,"Li, Nan; Wang, Yunsheng; Li, Zhen",Photoinduced room-temperature phosphorescence of,"Youji Huaxue (2024), 44(8), 2487-2494","Schlenk tube used, Buchwald-Hartwig reaction",3375-31-3,13716-12-6,,,865-47-4,,,,,,108-88-3,,,,,87,2024.0
423,31-614-CAS-37847485,100-61-8,264882-01-1,878203-50-0,,2989955-71-5,87,"Xu, Jie; Ge, Zhaoliang; Ding, Kuiling; Wang, Xiaoming",Rh(II)/Pd(0) Dual-Catalyzed Regio-Divergent Three-Component Propargylic,"JACS Au (2023), 3(10), 2862-2872","chemoselective, regioselective, sealed tube used",51364-51-3,73482-96-9,1160861-53-9,,534-17-8,,,,,,75-05-8,,,,,87,2023.0
424,31-614-CAS-38100958,6267-02-3,151803-98-4,,,2952652-37-6,87,"Sudhakar, Pagidi; Slawin, Alexandra; Zysman-Colman, Eli",Thermally activated delayed fluorescence and high-contrast,"Frontiers in Chemistry (Lausanne, Switzerland) (2023), 111248267","Buchwald-Hartwig cross-coupling reaction, Schlenk flask used",12150-46-8,51364-51-3,,,534-17-8,,,,,,108-88-3,,,,,87,2023.0
425,31-614-CAS-43376617,327-51-5,6267-02-3,,,2641736-47-0,87,"Mohd Jamel, Nor Shafiq; Skhirtladze, Levani; Hussein, Aqeel A.; Ma,",Microwave-Assisted Buchwald-Hartwig Double Amination: A Rapid and,"ACS Omega (2024), 9(51), 50446-50457","microwave irradiation (microwave irradiation (200W)), Buchwald-Hartwig",51364-51-3,564483-18-7,,,865-48-5,,,,,,108-88-3,,,,,87,2024.0
426,31-614-CAS-39191933,135-67-1,200802-35-3,,,2374702-66-4,87,"Chen, Jianai; Wang, Haiyang; Yu, Yue; Liu, Jin; Zhao, Fengyi; Li, Weijun;",Sulphur-induced structural rearrangement in the self-sensitization,"Chemical Communications (Cambridge, United Kingdom) (2024), 60(14),",Buchwald-Hartwig coupling,3375-31-3,13716-12-6,,,865-48-5,,,,,,108-88-3,,,,,87,2024.0
427,31-614-CAS-35649482,135-67-1,200802-35-3,,,2374702-66-4,87,"Yu, Yue; Wang, Bohan; Chen, Jianai; Dong, Yujie; Zhan, Wang; Zhang,",Rapid photo-oxidation reactions of imidazole derivatives accelerated by,Journal of Materials Chemistry A: Materials for Energy and Sustainability,,3375-31-3,13716-12-6,,,865-48-5,,,,,,108-88-3,,,,,87,
428,31-614-CAS-36837149,2767559-18-0,2941247-61-4,,,2941247-27-2,87,"Huang, Xiaobing; Yu, Jingxun; Luan, Xinjun",[3+2] Cycloaddition of Vinyl Cyclopropane and Hydroxylamines via,"Chinese Journal of Chemistry (2023), 41(16), 1937-1942","glove box used, sealed vial used, Lossen rearrangement",366-18-7,51364-51-3,,,534-17-8,,,,,,109-99-9,,,,,87,2023.0
429,31-614-CAS-39979350,589-87-7,4627-22-9,,,851233-23-3,87,"Kohlbecher, Regina; Mueller, Thomas J. J.",A Rational Design of Electrochemically and Photophysically Tunable,"Chemistry - A European Journal (2024), 30(17), e202304119","chemoselective, Schlenk tube used, Buchwald-Hartwig coupling",3375-31-3,564483-18-7,,,865-48-5,,,,,,108-88-3,,,,,87,2024.0
430,31-614-CAS-36221266,620-93-9,626-39-1,,,1233220-09-1,87,"Lei, Bowen; Huang, Zhenmei; Li, Songtao; Liu, Junjie; Bin, Zhengyang;",Medium-Ring Strategy Enables Multiple Resonance Emitters with Twisted,"Angewandte Chemie, International Edition (2023), 62(12), e202218405",thermal,3375-31-3,161265-03-8,,,865-48-5,,,,,,108-88-3,,,,,87,2023.0
431,31-614-CAS-42014402,98-56-6,100-61-8,,,189065-46-1,87,"Li, Cheuk Long; Tse, Man Ho; Choy, Pui Ying; Kwong, Fuk Yee",Application of indole-based monophosphine in ppm level Pd-catalyzed C-N,"Journal of Organometallic Chemistry (2024), 1011123124","Buchwald-Hartwig amination, catalyst prepared and used, Schlenk tube used",3375-31-3,3058377-30-0,,,865-48-5,,,,,,75-09-2,108-88-3,110-54-3,7732-18-5,,87,2024.0
432,31-614-CAS-40985571,106-38-7,110-89-4,,,31053-03-9,87,"Kim, Sojung F.; Schwarz, Henrik; Jurczyk, Justin; Nebgen, Bailey R.;","Mechanistic Investigation, Wavelength-Dependent Reactivity, and Expanded","Journal of the American Chemical Society (2024), 146(8), 5580-5596","sealed vial used, no solvent, Buchwald-Hartwig coupling",3375-31-3,787618-22-8,,,865-48-5,,,,,,,,,,,87,2024.0
433,31-614-CAS-41071053,90-14-2,3050665-23-8,,,3067323-96-7,87,"Jin, Liang; Li, Ya; Mao, Yihui; He, Xiao-Bao; Lu, Zhan; Zhang, Qi; Shi,",Chiral dinitrogen ligand enabled asymmetric Pd/norbornene cooperative,"Nature Communications (2024), 15(1), 4908","molecular sieves used, 95% ee, Schlenk tube used",51364-51-3,2641594-79-6,,,498-66-8,10294-26-5,,,,,108-88-3,7732-18-5,,,,87,2024.0
434,31-614-CAS-39924726,108-86-1,3078057-90-3,,,3078057-68-5,86,"Hubler, Francis; Renneberg, Dorte; Siendt, Herve; Stamm, Simon; Hilpert,",Discovery and Characterization of a New Class of C5aR1 Antagonists,"Journal of Medicinal Chemistry (2024), 67(5), 4100-4119",Buchwald-Hartwig coupling,51364-51-3,98327-87-8,,,865-48-5,,,,,,108-88-3,,,,,86,2024.0
435,31-614-CAS-35689812,2069-41-2,2890216-92-7,,,2890216-98-3,86,"Liu, Shen; Tian, Yiting; Yan, Libing; Wang, Shumeng; Zhao, Lei; Tian,",Color Tuning in Thermally Activated Delayed Fluorescence Polymers with,"Macromolecules (Washington, DC, United States) (2023), 56(3), 876-882",Buchwald-Hartwig coupling,12150-46-8,51364-51-3,,,534-17-8,,,,,,108-88-3,,,,,86,2023.0
436,31-614-CAS-39194483,1914543-70-6,3028467-95-7,,,3033294-91-3,86,"Wu, Chenggui; Liu, Ze-Shui; Shang, Yong; Liu, Chang; Deng, Shuang; Cheng,",Asymmetric Two-Component Alkenyl Catellani Reaction for the Construction,"Chinese Journal of Chemistry (2024), 42(7), 699-704","stereoselective (ee = 90%), Catellani reaction, sealed vial used",3375-31-3,2248160-18-9,,,584-08-7,,,,,,109-99-9,,,,,86,2024.0
437,31-614-CAS-39279528,108-86-1,19101-48-5,,,3026151-51-6,86,"Lee, Hyelee; Alvarado, Marisol; Ingram, Sarah; Li, Bo; Liu, Shih-Yuan","N-Functionalization of 1,2-Azaborines","Synlett (2023), 34(18), 2169-2174","Buchwald-Hartwig coupling, optimization study, optimized on ligand,",51364-51-3,312959-24-3,,,865-48-5,,,,,,108-88-3,,,,,86,2023.0
438,31-614-CAS-41071014,692279-78-0,857784-97-5,,,3067323-80-9,86,"Jin, Liang; Li, Ya; Mao, Yihui; He, Xiao-Bao; Lu, Zhan; Zhang, Qi; Shi,",Chiral dinitrogen ligand enabled asymmetric Pd/norbornene cooperative,"Nature Communications (2024), 15(1), 4908","molecular sieves used, 91% ee, Schlenk tube used",51364-51-3,2641594-79-6,,,498-66-8,10294-26-5,,,,,108-88-3,7732-18-5,,,,86,2024.0
439,31-614-CAS-41335288,109179-31-9,160893-04-9,,,3060704-84-6,86,"Wang, Wei; Jiang, Mingwei; Li, Junwei; Wang, Fen; Li, Xiao-Xi; Zhao,",Intermolecular Buchwald-Hartwig Reactions for Enantioselective Synthesis,"Journal of the American Chemical Society (2024), 146(24), 16567-16580","stereoselective, %ee = 92",52522-40-4,849924-41-0,,,7778-53-2,,,,,,1634-04-4,,,,,86,2024.0
